id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;INCOMP::S800;INCOMP::S8000;INCOMP::S800_set;air;air0;air_set;balance
0x7fa8b6e7f080;fresh air;out1;compressor train_inlet;in3;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;419.4080704572207;kJ / kg;False;419.4080704572207;False;nan;nan;nan;False;20.0;C;False;20.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;True;1;1;True;False
0x7fa8b6e7f9e8;compressor train_outlet;out3;after cooler;in1;['T'];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;65.65656565656566;bar;False;65.65656565656566;False;nan;nan;nan;False;427.1315106377203;kJ / kg;False;427.1315106377203;False;nan;nan;nan;False;39.99999999999909;C;False;39.99999999999909;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7fa8b6e7fb70;after cooler;out1;cas;in1;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;65.0;bar;False;65.0;True;nan;nan;nan;False;410.6874404168738;kJ / kg;False;410.6874404168738;False;nan;nan;nan;False;24.999999999997897;C;False;24.999999999997897;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7fa8c64b79e8;cold reservoir;out1;compressor train_inlet;in1;[];[];472.64097245460596;kg / s;False;472.64097245460596;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;16.856579442031855;kJ / kg;False;16.856579442031855;False;nan;nan;nan;False;30.0;C;False;30.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;True;0;0;True;False
0x7fa8b6e63be0;compressor train_outlet;out1;hot reservoir;in1;[];[];472.64097245460596;kg / s;False;472.64097245460596;False;nan;nan;nan;False;8.0;bar;False;8.0;False;nan;nan;nan;False;367.83878353288014;kJ / kg;False;367.83878353288014;False;nan;nan;nan;False;225.9660468087929;C;False;225.9660468087929;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e636d8;source;out1;compressor train_inlet;in2;[];[];0.0;kg / s;False;0.0;True;nan;nan;nan;False;8.0;bar;False;8.0;True;nan;nan;nan;False;16.704114858722512;kJ / kg;False;16.704114858722512;False;nan;nan;nan;False;30.0;C;False;30.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;True;0;0;True;False
0x7fa8b6e63438;compressor train_outlet;out2;sink;in1;[];[];0.0;kg / s;False;0.0;True;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;16.856579442031855;kJ / kg;False;16.856579442031855;False;nan;nan;nan;False;30.0;C;False;30.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6eac7b8;compressor train_inlet;out1;compressor train_splitter_0;in1;[];[];472.64097245460596;kg / s;False;472.64097245460596;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;16.856579442031855;kJ / kg;False;16.856579442031855;False;nan;nan;nan;False;30.0;C;False;30.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6f147b8;compressor train_merge_0;out1;compressor train_outlet;in1;[];[];472.64097245460596;kg / s;False;472.64097245460596;False;nan;nan;nan;False;8.0;bar;False;8.0;False;nan;nan;nan;False;367.83878353288014;kJ / kg;False;367.83878353288014;False;nan;nan;nan;False;225.9660468087929;C;False;225.9660468087929;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6f02550;compressor train_inlet;out3;compressor train_compressor_0;in1;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;1.0;bar;False;1.0;False;nan;nan;nan;False;419.4080704572207;kJ / kg;False;419.4080704572207;False;nan;nan;nan;False;20.0;C;False;20.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
