id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;276.6392929755262;kg / s;65.71428571428572;bar;416.0915439260118;kJ / kg;29.999999999999886;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;276.63929297552625;kg / s;62.9865025207318;bar;614.1949994304994;kJ / kg;214.99999999999778;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;276.6392929755262;kg / s;6.746213137091525;bar;451.45934270070495;kJ / kg;52.90800975682566;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;276.63929297552625;kg / s;6.410923506814816;bar;616.8979063186971;kJ / kg;215.00000000000006;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;276.6392929755263;kg / s;1.0;bar;429.47097285111;kJ / kg;30.00000000000034;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;310.8034845144319;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;159.97620886903428;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;150.8272756453976;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;159.97620886903428;kg / s;9.495310134908534;bar;33.26723426942198;kJ / kg;40.06747336785929;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;150.8272756453976;kg / s;9.495310134908534;bar;72.39963879531891;kJ / kg;63.606182243497074;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;310.8034845144319;kg / s;9.495310134908534;bar;52.25747813144212;kJ / kg;51.56119336340987;C;nan;nan;0;1
