input,level,output
0,0,0
0,0,0
0,0,0
0,0,0
"62,318983","49,855187",0
"127,99","152,24719",0
"127,99","254,63919",0
"127,99","357,03119",0
"127,99","459,42319",0
"127,99","561,81519",0
"127,99","664,20719",0
"127,99","766,59919",0
"127,99","868,99119",0
"54,061017","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"838,31733","59,138137"
0,"773,8476","51,575779"
0,"753,87433","15,978618"
"3,695595","756,83081",0
"20,341364","773,1039",0
"2,8607903","775,39253",0
0,"727,99473","37,91824"
0,"598,76386","103,3847"
0,"438,77636","127,99"
0,"278,78886","127,99"
0,"118,80136","127,99"
0,"17,55101","81,000276"
0,0,"14,040808"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"100,02736","80,021889",0
"127,99","182,41389",0
"127,99","284,80589",0
"127,99","387,19789",0
"80,869127","451,89319",0
0,"451,89319",0
0,"451,89319",0
0,"451,89319",0
0,"451,89319",0
0,"451,89319",0
0,"451,89319",0
0,"451,89319",0
0,"451,89319",0
"33,883086","478,99966",0
"51,877248","520,50146",0
"60,479888","568,88537",0
"57,404044","614,8086",0
