,input,level,output,power,pressure,massflow,massflow_actual,power_actual,success
1970-01-01 00:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 01:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 02:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 03:00:00,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 04:00:00,6231.8983,4985.5187,0.0,6231.8983,1.0,2.0,3.0,4.0,0.0
1970-01-01 05:00:00,12799.0,15224.719,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 06:00:00,12799.0,25463.918999999998,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 07:00:00,12799.0,35703.119,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 08:00:00,12799.0,45942.319,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 09:00:00,12799.0,56181.519,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 10:00:00,12799.0,66420.719,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 11:00:00,12799.0,76659.91900000001,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 12:00:00,12799.0,86899.119,0.0,12799.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 13:00:00,5406.1017,91224.0,0.0,5406.1017,1.0,2.0,3.0,4.0,0.0
1970-01-01 14:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 15:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 16:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 17:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 18:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 19:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 20:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 21:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 22:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-01 23:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 00:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 01:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 02:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 03:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 04:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 05:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 06:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 07:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 08:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 09:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 10:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 11:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 12:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 13:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 14:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 15:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 16:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 17:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
1970-01-02 18:00:00,0.0,91224.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0
