id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;INCOMP::S800;air
0x7fa8b6e7f080;fresh air;out1;compressor train_inlet;in3;138.31964648776366;kg / s;1.0;bar;419.4080704572207;kJ / kg;20.0;C;nan;nan;0;1
0x7fa8b6e7f9e8;compressor train_outlet;out3;after cooler;in1;138.31964648776366;kg / s;70.70707070707071;bar;421.2267578097113;kJ / kg;35.4704992397576;C;nan;nan;0;1
0x7fa8b6e7fb70;after cooler;out1;cas;in1;138.31964648776366;kg / s;70.0;bar;409.6959524205044;kJ / kg;24.999999999989257;C;nan;nan;0;1
0x7fa8c64b79e8;cold reservoir;out1;compressor train_inlet;in1;243.4208586783599;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e63be0;compressor train_outlet;out1;hot reservoir;in1;243.4208586783599;kg / s;8.0;bar;368.24101686660373;kJ / kg;226.17150901722198;C;nan;nan;1;0
0x7fa8b6e636d8;source;out1;compressor train_inlet;in2;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e63438;compressor train_outlet;out2;sink;in1;0.0;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6eac7b8;compressor train_inlet;out1;compressor train_splitter_0;in1;243.4208586783599;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6f147b8;compressor train_merge_0;out1;compressor train_outlet;in1;243.4208586783599;kg / s;8.0;bar;368.24101686660373;kJ / kg;226.17150901722198;C;nan;nan;1;0
0x7fa8b6f02550;compressor train_inlet;out3;compressor train_compressor_0;in1;138.31964648776366;kg / s;1.0;bar;419.4080704572207;kJ / kg;20.0;C;nan;nan;0;1
0x7fa8b6eacef0;compressor train_compressor_0;out1;compressor train_heat exchanger_0;in1;138.31964648776366;kg / s;5.0;bar;621.643762413622;kJ / kg;219.5304896112733;C;nan;nan;0;1
0x7fa8b6eb6668;compressor train_splitter_0;out1;compressor train_heat exchanger_0;in2;85.38556680500798;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6ec4668;compressor train_heat exchanger_0;out2;compressor train_vessel_0;in1;85.38556680500798;kg / s;9.98711815032331;bar;317.68407648661395;kJ / kg;200.0;C;nan;nan;1;0
0x7fa8b6ec4f98;compressor train_vessel_0;out1;compressor train_merge_0;in2;85.38556680500798;kg / s;8.0;bar;317.68407648661395;kJ / kg;200.0562797583384;C;nan;nan;1;0
0x7fa8b6ec44e0;compressor train_splitter_0;out2;compressor train_splitter_1;in1;158.03529187335192;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e58668;compressor train_merge_1;out1;compressor train_merge_0;in1;158.03529187335192;kg / s;8.0;bar;395.5566433896458;kJ / kg;240.04079460869286;C;nan;nan;1;0
0x7fa8b6e587f0;compressor train_heat exchanger_0;out1;compressor train_compressor_1;in1;138.31964648776366;kg / s;4.9987546550853965;bar;435.9411019607136;kJ / kg;37.261008499140075;C;nan;nan;0;1
0x7fa8b6e58978;compressor train_compressor_1;out1;compressor train_heat exchanger_1;in1;138.31964648776366;kg / s;70.72241948940606;bar;853.905532359013;kJ / kg;438.67009388047745;C;nan;nan;0;1
0x7fa8b6e58b00;compressor train_splitter_1;out1;compressor train_heat exchanger_1;in2;158.03529187335192;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e58c88;compressor train_heat exchanger_1;out2;compressor train_vessel_1;in1;158.03529187335192;kg / s;9.986524898515592;bar;395.5566433896458;kJ / kg;240.00000000000034;C;nan;nan;1;0
0x7fa8b6e58e10;compressor train_vessel_1;out1;compressor train_merge_1;in2;158.03529187335192;kg / s;8.0;bar;395.5566433896458;kJ / kg;240.04079460869286;C;nan;nan;1;0
0x7fa8b6e58f98;compressor train_splitter_1;out2;compressor train_outlet;in2;0.0;kg / s;10.0;bar;16.85657944203185;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e58f60;compressor train_inlet;out2;compressor train_merge_1;in1;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7fa8b6e632e8;compressor train_heat exchanger_1;out1;compressor train_outlet;in3;138.31964648776366;kg / s;70.70707070707071;bar;421.2267578097113;kJ / kg;35.4704992397576;C;nan;nan;0;1
