id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;256.8793434772714;kg / s;44.285714285714285;bar;420.3065875352141;kJ / kg;29.99999999999352;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;256.87934347727145;kg / s;40.720571234195816;bar;615.1550718378029;kJ / kg;215.000000000007;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;256.8793434772714;kg / s;6.282652685292239;bar;473.0278499927525;kJ / kg;74.08100855976465;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;256.87934347727145;kg / s;5.964137220957722;bar;616.922913676114;kJ / kg;215.00000000000358;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;256.8793434772715;kg / s;1.0;bar;435.32273825716965;kJ / kg;35.81345704808285;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;281.2521677994515;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;145.64392949942916;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;135.60823830002235;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;145.64392949942916;kg / s;9.581811572475617;bar;32.17434120734287;kJ / kg;39.397845196023866;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;135.60823830002235;kg / s;9.581811572475617;bar;103.2612993188399;kJ / kg;81.77851470274447;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;281.2521677994515;kg / s;9.581811572475617;bar;66.4495513542792;kJ / kg;60.05949752202832;C;nan;nan;0;1
