id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;Air;Air0;Air_set;INCOMP::S800;INCOMP::S8000;INCOMP::S800_set;balance
0x7f53934f5358;cas;out1;tes discharger;in2;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;60.0;bar;False;60.0;True;nan;nan;nan;False;417.1934851285685;kJ / kg;False;417.1934851285685;False;nan;nan;nan;False;29.999999999999886;C;False;29.999999999999886;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;True;0;0;True;False
0x7f53934f5630;tes discharger;out2;turb1;in1;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;57.0;bar;False;57.0;False;nan;nan;nan;False;614.4408251427589;kJ / kg;False;614.4408251427589;False;nan;nan;nan;False;214.99999999999898;C;False;214.99999999999898;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7f53934f57b8;turb1;out1;reheater;in2;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;6.748340533489303;bar;False;6.748340533489303;False;nan;nan;nan;False;456.91036051137746;kJ / kg;False;456.91036051137746;False;nan;nan;nan;False;58.2786942633212;C;False;58.2786942633212;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7f53934f5940;reheater;out2;turb2;in1;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;6.410923506814838;bar;False;6.410923506814838;False;nan;nan;nan;False;616.8979063186971;kJ / kg;False;616.8979063186971;False;nan;nan;nan;False;215.0;C;False;215.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7f53934f5ac8;turb2;out1;ambient;in1;['T'];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;1.0;bar;False;1.0;True;nan;nan;nan;False;429.47097285110976;kJ / kg;False;429.47097285110976;False;nan;nan;nan;False;30.00000000000017;C;False;30.00000000000017;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;[];[];308.9801383854747;kg / s;False;308.9801383854747;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;375.83817187449506;kJ / kg;False;375.83817187449506;False;nan;nan;nan;False;230.0;C;False;230.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;True;1;1;True;False
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;[];[];159.23351738994057;kg / s;False;159.23351738994057;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;375.83817187449506;kJ / kg;False;375.83817187449506;False;nan;nan;nan;False;230.0;C;False;230.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7f539349e2e8;spliter 1;out2;reheater;in1;[];[];149.74662099553407;kg / s;False;149.74662099553407;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;375.83817187449506;kJ / kg;False;375.83817187449506;False;nan;nan;nan;False;230.0;C;False;230.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7f539349e470;tes discharger;out1;merge 1;in1;[];[];159.23351738994057;kg / s;False;159.23351738994057;False;nan;nan;nan;False;9.5;bar;False;9.5;False;nan;nan;nan;False;33.15677176949261;kJ / kg;False;33.15677176949261;False;nan;nan;nan;False;40.0;C;False;40.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7f539349e5f8;reheater;out1;merge 1;in2;[];[];149.74662099553407;kg / s;False;149.74662099553407;False;nan;nan;nan;False;9.5;bar;False;9.5;False;nan;nan;nan;False;80.27997321339365;kJ / kg;False;80.27997321339365;False;nan;nan;nan;False;68.2786942633212;C;False;68.2786942633212;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7f539349e780;merge 1;out1;cold tank;in1;[];[];308.9801383854747;kg / s;False;308.9801383854747;False;nan;nan;nan;False;9.5;bar;False;9.5;False;nan;nan;nan;False;55.9949393733679;kJ / kg;False;55.9949393733679;False;nan;nan;nan;False;53.80717053008152;C;False;53.80717053008152;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
