id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;276.6392929755273;kg / s;60.0;bar;417.1934851285685;kJ / kg;29.999999999999886;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;276.6392929755273;kg / s;57.0;bar;614.4408251427589;kJ / kg;214.99999999999898;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;276.6392929755273;kg / s;6.748340533489303;bar;456.91036051137746;kJ / kg;58.2786942633212;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;276.6392929755273;kg / s;6.410923506814838;bar;616.8979063186971;kJ / kg;215.0;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;276.6392929755273;kg / s;1.0;bar;429.47097285110976;kJ / kg;30.00000000000017;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;308.9801383854747;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;159.23351738994057;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;149.74662099553407;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;159.23351738994057;kg / s;9.5;bar;33.15677176949261;kJ / kg;40.0;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;149.74662099553407;kg / s;9.5;bar;80.27997321339365;kJ / kg;68.2786942633212;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;308.9801383854747;kg / s;9.5;bar;55.9949393733679;kJ / kg;53.80717053008152;C;nan;nan;0;1
