input,level,output
1231,1231231,0
0,0,0
0,0,0
0,0,0
6231.8983,4985.5187,0
12799,15224.719,0
12799,25463.919,0
12799,35703.119,0
12799,45942.319,0
12799,56181.519,0
12799,66420.719,0
12799,76659.919,0
12799,86899.119,0
5406.1017,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,83831.733,5913.8137
0,77384.76,5157.5779
0,75387.433,1597.8618
369.5595,75683.081,0
2034.1364,77310.39,0
286.07903,77539.253,0
0,72799.473,3791.824
0,59876.386,10338.47
0,43877.636,12799
0,27878.886,12799
0,11880.136,12799
0,1755.101,8100.0276
0,0,1404.0808
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10002.736,8002.1889,0
12799,18241.389,0
12799,28480.589,0
12799,38719.789,0
8086.9127,45189.319,0
0,45189.319,0
0,45189.319,0
0,45189.319,0
0,45189.319,0
0,45189.319,0
0,45189.319,0
0,45189.319,0
0,45189.319,0
3388.3086,47899.966,0
5187.7248,52050.146,0
6047.9888,56888.537,0
5740.4044,61480.86,0
5110.2862,65569.089,0
5649.4347,70088.637,0
11253.703,79091.599,0
10662.719,87621.774,0
4502.7823,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,86771.431,3562.0548
0,73377.738,10714.955
0,59063.178,11451.648
0,49463.887,7679.4334
0,46977.07,1989.4536
0,46977.07,0
0,46977.07,0
0,46977.07,0
0,46977.07,0
0,46977.07,0
0,46977.07,0
6213.2223,51947.647,0
8040.3759,58379.948,0
6982.2801,63965.772,0
0,63965.772,0
0,63965.772,0
0,56324.517,6113.0041
0,47196.727,7302.2324
0,39848.503,5878.5788
0,31914.537,6347.1731
0,21269.354,8516.146
0,12200.103,7255.4012
0,5610.4286,5271.7391
0,1280.6474,3463.8249
0,0,1024.5179
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
465.31774,372.25419,0
0,372.25419,0
0,372.25419,0
6448.1929,5530.8085,0
12799,15770.009,0
12799,26009.209,0
12799,36248.409,0
12799,46487.609,0
8322.9693,53145.984,0
0,53145.984,0
0,53145.984,0
0,53145.984,0
0,53145.984,0
0,53145.984,0
2080.5827,54810.45,0
0,54810.45,0
0,54810.45,0
0,54810.45,0
0,54810.45,0
0,54810.45,0
1203.9291,55773.593,0
524.31711,56193.047,0
5676.9403,60734.599,0
5844.7219,65410.377,0
319.72767,65666.159,0
1212.1674,66635.893,0
2581.3318,68700.958,0
2966.2205,71073.935,0
9703.8757,78837.035,0
12799,89076.235,0
2684.7059,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,78930.691,9834.6476
0,64877.726,11242.371
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
0,64877.726,0
2962.1736,67247.465,0
9214.1874,74618.815,0
11784.182,84046.16,0
8972.2995,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,88466.033,2206.3739
0,79235.376,7384.5253
0,67617.049,9294.6615
0,66234.063,1106.3888
0,66234.063,0
0,66234.063,0
0,66234.063,0
0,66234.063,0
0,66234.063,0
0,66234.063,0
0,66234.063,0
0,66234.063,0
0,66234.063,0
7430.057,72178.109,0
12799,82417.309,0
9924.7087,90357.076,0
0,90357.076,0
0,90357.076,0
814.50463,91008.679,0
269.15073,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,89536.682,1349.8546
0,83088.136,5158.8367
0,72432.668,8524.3741
0,68563.689,3095.1833
0,68563.689,0
0,68563.689,0
0,68563.689,0
1161.4929,69492.883,0
4590.3684,73165.178,0
4760.5782,76973.641,0
3091.7126,79447.011,0
3132.0795,81952.674,0
10208.976,90119.855,0
0,90119.855,0
0,74121.105,12799
0,58122.355,12799
0,42123.605,12799
0,26124.855,12799
0,11513.117,11689.391
0,5068.77,5155.4778
0,1560.4435,2806.6612
0,0,1248.3548
0,0,0
1092.0917,873.67337,0
0,873.67337,0
0,0,698.9387
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
550.02693,440.02154,0
12763.433,10650.768,0
9178.5972,17993.646,0
0,17993.646,0
0,17993.646,0
0,14685.207,2646.751
0,5539.2572,7316.7597
0,636.35302,3922.3234
0,0,509.08242
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7214.318,5771.4544,0
8719.1948,12746.81,0
8503.4871,19549.6,0
12799,29788.8,0
12799,40028,0
12799,50267.2,0
12799,60506.4,0
12799,70745.6,0
12799,80984.8,0
12799,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,81466.249,7806.2009
0,65467.499,12799
0,49468.749,12799
0,33469.999,12799
0,17471.249,12799
0,1472.4989,12799
0,0,1177.9991
0,0,0
9358.8319,7487.0656,0
12799,17726.266,0
12799,27965.466,0
12799,38204.666,0
12799,48443.866,0
12799,58683.066,0
12799,68922.266,0
5586.2398,73391.257,0
0,66842.292,5239.1722
0,54434.004,9926.6309
0,44959.423,7579.6647
0,37269.672,6151.8005
0,31905.895,4291.0221
